time,host_cpu_%,host_ram_%,gpu_mem_MB,gpu_util_%,docker
23:42:36,29.7,95.3,156,1,kafka=0.94%/504.7MiB / 4.804GiB ; elasticsearch=5.23%/1.538GiB / 4.804GiB ; zookeeper=0.10%/98.2MiB / 4.804GiB
23:42:40,20.9,95.1,164,1,kafka=0.90%/504.7MiB / 4.804GiB ; elasticsearch=3.96%/1.538GiB / 4.804GiB ; zookeeper=0.25%/98.2MiB / 4.804GiB
23:42:44,20.7,95.1,155,1,kafka=0.76%/504.7MiB / 4.804GiB ; elasticsearch=12.05%/1.538GiB / 4.804GiB ; zookeeper=0.14%/98.2MiB / 4.804GiB
23:42:48,26.8,95.5,155,7,kafka=0.77%/504.7MiB / 4.804GiB ; elasticsearch=4.09%/1.538GiB / 4.804GiB ; zookeeper=0.11%/98.21MiB / 4.804GiB
23:42:53,20.3,95.1,158,1,kafka=0.70%/504.7MiB / 4.804GiB ; elasticsearch=3.99%/1.538GiB / 4.804GiB ; zookeeper=0.14%/98.2MiB / 4.804GiB
23:42:57,19.5,95.2,156,2,kafka=121.99%/580.6MiB / 4.804GiB ; elasticsearch=3.91%/1.538GiB / 4.804GiB ; zookeeper=0.13%/98.21MiB / 4.804GiB
23:43:02,23.1,94.9,159,3,kafka=0.64%/504.7MiB / 4.804GiB ; elasticsearch=3.26%/1.538GiB / 4.804GiB ; zookeeper=0.13%/98.2MiB / 4.804GiB
23:43:06,23.6,94.9,155,2,kafka=0.77%/504.7MiB / 4.804GiB ; elasticsearch=3.42%/1.538GiB / 4.804GiB ; zookeeper=0.12%/98.2MiB / 4.804GiB
23:43:10,29.7,95.3,157,2,kafka=0.84%/504.7MiB / 4.804GiB ; elasticsearch=3.74%/1.538GiB / 4.804GiB ; zookeeper=0.13%/98.2MiB / 4.804GiB
23:43:14,20.2,95.4,156,5,kafka=0.92%/504.7MiB / 4.804GiB ; elasticsearch=4.49%/1.538GiB / 4.804GiB ; zookeeper=0.11%/98.21MiB / 4.804GiB
23:43:18,21.0,95.5,157,3,kafka=160.40%/582.5MiB / 4.804GiB ; elasticsearch=3.37%/1.538GiB / 4.804GiB ; zookeeper=0.72%/98.2MiB / 4.804GiB
23:43:23,28.9,95.5,160,2,kafka=0.95%/504.7MiB / 4.804GiB ; elasticsearch=4.11%/1.538GiB / 4.804GiB ; zookeeper=0.13%/98.2MiB / 4.804GiB
23:43:27,17.1,95.0,155,2,kafka=0.95%/504.7MiB / 4.804GiB ; elasticsearch=3.84%/1.538GiB / 4.804GiB ; zookeeper=0.11%/98.2MiB / 4.804GiB
23:43:32,29.1,95.3,164,3,kafka=0.65%/504.7MiB / 4.804GiB ; elasticsearch=3.75%/1.538GiB / 4.804GiB ; zookeeper=0.11%/98.21MiB / 4.804GiB
23:43:36,20.4,94.8,158,1,kafka=0.88%/504.7MiB / 4.804GiB ; elasticsearch=3.99%/1.538GiB / 4.804GiB ; zookeeper=0.22%/98.21MiB / 4.804GiB
23:43:40,19.9,94.9,162,2,kafka=176.99%/567.5MiB / 4.804GiB ; elasticsearch=17.17%/1.538GiB / 4.804GiB ; zookeeper=0.10%/98.21MiB / 4.804GiB
23:43:44,31.9,95.2,155,5,kafka=0.90%/504.7MiB / 4.804GiB ; elasticsearch=3.46%/1.538GiB / 4.804GiB ; zookeeper=0.14%/98.21MiB / 4.804GiB
23:43:48,18.5,95.1,156,3,kafka=0.72%/504.7MiB / 4.804GiB ; elasticsearch=3.78%/1.538GiB / 4.804GiB ; zookeeper=0.13%/98.21MiB / 4.804GiB
23:43:53,28.2,95.1,160,1,kafka=0.73%/504.7MiB / 4.804GiB ; elasticsearch=4.14%/1.538GiB / 4.804GiB ; zookeeper=0.14%/98.2MiB / 4.804GiB
23:43:57,20.3,94.8,157,2,kafka=0.69%/504.7MiB / 4.804GiB ; elasticsearch=3.64%/1.538GiB / 4.804GiB ; zookeeper=0.31%/98.21MiB / 4.804GiB
23:44:02,20.5,94.9,164,2,kafka=144.96%/551.6MiB / 4.804GiB ; elasticsearch=3.35%/1.538GiB / 4.804GiB ; zookeeper=0.68%/98.21MiB / 4.804GiB
23:44:06,28.7,95.1,160,2,kafka=0.85%/504.7MiB / 4.804GiB ; elasticsearch=5.08%/1.538GiB / 4.804GiB ; zookeeper=0.15%/98.21MiB / 4.804GiB
23:44:10,25.5,94.9,164,2,kafka=0.83%/504.7MiB / 4.804GiB ; elasticsearch=3.63%/1.538GiB / 4.804GiB ; zookeeper=0.52%/98.2MiB / 4.804GiB
23:44:14,25.0,95.0,157,6,kafka=1.56%/504.7MiB / 4.804GiB ; elasticsearch=3.87%/1.538GiB / 4.804GiB ; zookeeper=0.83%/98.2MiB / 4.804GiB
23:44:18,38.1,95.6,189,13,kafka=1.29%/504.7MiB / 4.804GiB ; elasticsearch=3.78%/1.538GiB / 4.804GiB ; zookeeper=0.15%/98.2MiB / 4.804GiB
23:44:23,40.4,96.1,188,2,kafka=0.78%/504.7MiB / 4.804GiB ; elasticsearch=4.38%/1.538GiB / 4.804GiB ; zookeeper=0.13%/98.2MiB / 4.804GiB
23:44:27,26.1,96.2,159,2,kafka=0.84%/504.7MiB / 4.804GiB ; elasticsearch=4.34%/1.538GiB / 4.804GiB ; zookeeper=0.11%/98.2MiB / 4.804GiB
23:44:32,24.7,96.0,155,2,kafka=0.80%/504.7MiB / 4.804GiB ; elasticsearch=3.62%/1.538GiB / 4.804GiB ; zookeeper=0.31%/98.2MiB / 4.804GiB
23:44:36,22.7,95.7,150,2,kafka=42.90%/505MiB / 4.804GiB ; elasticsearch=4.31%/1.538GiB / 4.804GiB ; zookeeper=0.10%/98.2MiB / 4.804GiB
23:44:40,27.0,95.7,150,2,kafka=1.46%/504.8MiB / 4.804GiB ; elasticsearch=2.29%/1.538GiB / 4.804GiB ; zookeeper=0.12%/98.21MiB / 4.804GiB
23:44:45,12.2,95.8,150,2,kafka=1.17%/504.8MiB / 4.804GiB ; elasticsearch=2.37%/1.538GiB / 4.804GiB ; zookeeper=0.15%/98.21MiB / 4.804GiB
23:44:48,19.5,96.3,150,2,kafka=1.13%/504.9MiB / 4.804GiB ; elasticsearch=2.62%/1.538GiB / 4.804GiB ; zookeeper=0.15%/98.2MiB / 4.804GiB
