time,host_cpu_%,host_ram_%,gpu_mem_MB,gpu_util_%,docker
13:14:38,14.8,73.1,523,30,kafka=0.69%/549.7MiB / 4.804GiB ; elasticsearch=5.53%/1.522GiB / 4.804GiB ; zookeeper=0.11%/95.44MiB / 4.804GiB
13:14:42,14.4,73.2,523,28,kafka=76.04%/586MiB / 4.804GiB ; elasticsearch=2.60%/1.522GiB / 4.804GiB ; zookeeper=0.48%/95.44MiB / 4.804GiB
13:14:46,18.5,73.6,520,29,kafka=0.76%/549.8MiB / 4.804GiB ; elasticsearch=2.47%/1.522GiB / 4.804GiB ; zookeeper=0.48%/95.44MiB / 4.804GiB
13:14:50,16.0,73.3,522,29,kafka=0.69%/549.8MiB / 4.804GiB ; elasticsearch=2.58%/1.522GiB / 4.804GiB ; zookeeper=0.53%/95.48MiB / 4.804GiB
13:14:55,12.2,73.3,524,28,kafka=91.67%/549.8MiB / 4.804GiB ; elasticsearch=7.22%/1.522GiB / 4.804GiB ; zookeeper=0.47%/95.44MiB / 4.804GiB
13:14:59,15.7,73.4,526,31,kafka=0.78%/549.8MiB / 4.804GiB ; elasticsearch=19.33%/1.522GiB / 4.804GiB ; zookeeper=0.52%/95.54MiB / 4.804GiB
13:15:04,13.1,73.4,524,31,kafka=138.78%/610.8MiB / 4.804GiB ; elasticsearch=2.24%/1.522GiB / 4.804GiB ; zookeeper=0.11%/95.44MiB / 4.804GiB
13:15:08,20.8,73.4,524,30,kafka=0.87%/549.8MiB / 4.804GiB ; elasticsearch=6.20%/1.522GiB / 4.804GiB ; zookeeper=0.10%/95.43MiB / 4.804GiB
13:15:12,14.1,73.5,524,30,kafka=0.78%/549.8MiB / 4.804GiB ; elasticsearch=3.02%/1.522GiB / 4.804GiB ; zookeeper=0.11%/95.44MiB / 4.804GiB
13:15:16,16.3,73.7,526,29,kafka=26.29%/549.8MiB / 4.804GiB ; elasticsearch=2.48%/1.522GiB / 4.804GiB ; zookeeper=0.11%/95.43MiB / 4.804GiB
13:15:20,24.6,73.7,527,29,kafka=0.73%/549.8MiB / 4.804GiB ; elasticsearch=18.79%/1.522GiB / 4.804GiB ; zookeeper=0.12%/95.44MiB / 4.804GiB
13:15:25,17.7,72.5,519,30,kafka=41.66%/579.6MiB / 4.804GiB ; elasticsearch=3.25%/1.522GiB / 4.804GiB ; zookeeper=0.12%/95.44MiB / 4.804GiB
13:15:29,22.2,72.6,516,30,kafka=0.61%/549.8MiB / 4.804GiB ; elasticsearch=2.94%/1.522GiB / 4.804GiB ; zookeeper=0.12%/95.44MiB / 4.804GiB
13:15:34,11.0,72.5,516,32,kafka=0.61%/549.8MiB / 4.804GiB ; elasticsearch=4.44%/1.522GiB / 4.804GiB ; zookeeper=0.10%/95.44MiB / 4.804GiB
13:15:38,19.2,72.3,514,35,kafka=1.64%/549MiB / 4.804GiB ; elasticsearch=2.45%/1.522GiB / 4.804GiB ; zookeeper=0.18%/95.33MiB / 4.804GiB
