time,host_cpu_%,host_ram_%,gpu_mem_MB,gpu_util_%,docker
13:01:31,13.7,71.9,522,28,kafka=0.90%/541MiB / 4.804GiB ; elasticsearch=2.62%/1.515GiB / 4.804GiB ; zookeeper=0.12%/91.26MiB / 4.804GiB
13:01:35,12.5,71.9,522,29,kafka=0.72%/541MiB / 4.804GiB ; elasticsearch=3.35%/1.515GiB / 4.804GiB ; zookeeper=0.10%/91.26MiB / 4.804GiB
13:01:40,21.9,71.9,520,30,kafka=0.83%/541.8MiB / 4.804GiB ; elasticsearch=30.12%/1.518GiB / 4.804GiB ; zookeeper=0.11%/91.26MiB / 4.804GiB
13:01:44,12.9,71.8,522,30,kafka=0.95%/541.8MiB / 4.804GiB ; elasticsearch=2.51%/1.518GiB / 4.804GiB ; zookeeper=0.18%/91.26MiB / 4.804GiB
13:01:49,16.5,71.9,523,31,kafka=1.47%/541.8MiB / 4.804GiB ; elasticsearch=2.53%/1.519GiB / 4.804GiB ; zookeeper=0.10%/91.26MiB / 4.804GiB
13:01:53,15.2,72.0,525,30,kafka=0.65%/541.9MiB / 4.804GiB ; elasticsearch=2.46%/1.518GiB / 4.804GiB ; zookeeper=0.11%/91.26MiB / 4.804GiB
13:01:57,13.1,71.9,522,31,kafka=0.67%/541.8MiB / 4.804GiB ; elasticsearch=4.18%/1.518GiB / 4.804GiB ; zookeeper=0.50%/91.26MiB / 4.804GiB
13:02:01,19.2,71.9,522,30,kafka=0.55%/541.9MiB / 4.804GiB ; elasticsearch=2.92%/1.518GiB / 4.804GiB ; zookeeper=0.09%/91.26MiB / 4.804GiB
13:02:05,13.8,72.1,519,28,kafka=0.60%/541.9MiB / 4.804GiB ; elasticsearch=2.57%/1.518GiB / 4.804GiB ; zookeeper=0.11%/91.26MiB / 4.804GiB
13:02:10,13.6,71.9,522,29,kafka=176.87%/611.6MiB / 4.804GiB ; elasticsearch=2.35%/1.518GiB / 4.804GiB ; zookeeper=0.09%/91.26MiB / 4.804GiB
13:02:14,23.0,72.0,521,25,kafka=0.71%/541.9MiB / 4.804GiB ; elasticsearch=2.37%/1.518GiB / 4.804GiB ; zookeeper=0.12%/91.26MiB / 4.804GiB
13:02:19,15.0,72.0,525,32,kafka=28.56%/565.9MiB / 4.804GiB ; elasticsearch=2.59%/1.518GiB / 4.804GiB ; zookeeper=0.12%/91.26MiB / 4.804GiB
13:02:23,16.0,72.0,525,32,kafka=0.64%/541.9MiB / 4.804GiB ; elasticsearch=3.03%/1.518GiB / 4.804GiB ; zookeeper=0.11%/91.26MiB / 4.804GiB
13:02:27,12.0,72.0,521,27,kafka=0.79%/542.1MiB / 4.804GiB ; elasticsearch=2.41%/1.518GiB / 4.804GiB ; zookeeper=0.10%/91.26MiB / 4.804GiB
13:02:32,12.2,72.0,522,26,kafka=144.60%/615.6MiB / 4.804GiB ; elasticsearch=2.66%/1.518GiB / 4.804GiB ; zookeeper=0.08%/91.26MiB / 4.804GiB
13:02:35,16.6,72.2,520,29,kafka=0.59%/541.9MiB / 4.804GiB ; elasticsearch=11.42%/1.518GiB / 4.804GiB ; zookeeper=0.13%/91.26MiB / 4.804GiB
13:02:40,12.2,72.0,524,27,kafka=0.77%/541.9MiB / 4.804GiB ; elasticsearch=2.61%/1.518GiB / 4.804GiB ; zookeeper=0.21%/91.26MiB / 4.804GiB
13:02:44,16.5,72.1,524,31,kafka=0.70%/541.9MiB / 4.804GiB ; elasticsearch=2.66%/1.518GiB / 4.804GiB ; zookeeper=0.14%/91.26MiB / 4.804GiB
13:02:49,15.3,72.0,522,32,kafka=0.85%/541.9MiB / 4.804GiB ; elasticsearch=2.28%/1.518GiB / 4.804GiB ; zookeeper=0.48%/91.26MiB / 4.804GiB
13:02:53,13.2,72.0,522,28,kafka=0.88%/541.9MiB / 4.804GiB ; elasticsearch=4.73%/1.518GiB / 4.804GiB ; zookeeper=0.70%/91.26MiB / 4.804GiB
13:02:57,15.7,72.0,523,29,kafka=0.58%/541.9MiB / 4.804GiB ; elasticsearch=2.86%/1.518GiB / 4.804GiB ; zookeeper=0.60%/91.27MiB / 4.804GiB
13:03:02,11.9,72.1,524,30,kafka=0.63%/541.9MiB / 4.804GiB ; elasticsearch=4.24%/1.518GiB / 4.804GiB ; zookeeper=0.43%/91.26MiB / 4.804GiB
13:03:05,19.3,72.3,520,30,kafka=0.72%/541.9MiB / 4.804GiB ; elasticsearch=2.56%/1.518GiB / 4.804GiB ; zookeeper=0.13%/91.26MiB / 4.804GiB
13:03:10,12.8,72.1,522,30,kafka=0.59%/541.9MiB / 4.804GiB ; elasticsearch=2.47%/1.518GiB / 4.804GiB ; zookeeper=0.11%/91.26MiB / 4.804GiB
13:03:14,16.5,72.1,534,40,kafka=24.00%/541.9MiB / 4.804GiB ; elasticsearch=2.67%/1.518GiB / 4.804GiB ; zookeeper=0.11%/91.26MiB / 4.804GiB
